,0,1,2,3,4,5,6,7,8,9
PFDoA__0,-0.0003327514042097109,0.00012821837216108237,-0.002398178518741668,0.004732434901109375,0.002278583522074888,-0.014414202598935125,-0.007879552138292984,0.0016286503716421326,-0.0035561336432570604,0.0015341012400529096
PFDoA__1,0.8564189265858999,-0.33000203534966954,6.172311962611311,-12.18010432673049,-5.864504339940133,37.0985539390094,20.279997315932896,-4.191738894013794,9.152598964332855,-3.948393066585582
PFEESA__0,1.6479873021779667e-17,-8.814563662307151e-17,7.48099499014998e-18,2.1510571102112408e-16,-1.3010426069826053e-17,-1.4268100589909238e-16,-1.1709383462843448e-16,2.0252896582029223e-16,-1.1275702593849246e-16,2.5326962749261384e-16
PFHpA__0,-0.1671604761547513,0.005603137676633454,-0.014568353270150627,-0.006264312447836047,-0.009230752478554849,0.004837239708885997,0.008565026161811895,0.005604327377220575,0.007556853213217682,0.007772810969418118
PFHpA__1,2.946014467638718,-0.09874896889054276,0.25675076124934626,0.11040142697397413,0.16268157984808976,-0.08525088282604282,-0.15094890591864607,-0.09876993601878858,-0.13318099713565612,-0.13698700851346451
PFHpS__0,-0.001537441406804548,6.74765830457649e-05,0.00047252812294302604,-0.004288898615003237,-0.004509229658846886,-0.006104167885213948,-0.001531678627846627,-0.004225116357266759,0.01586785055257191,-0.0031219362962665205
PFHpS__1,3.1652843683291176,-0.13892078917457365,-0.9728408995150093,8.829984468568966,9.283602021634008,12.567260842077635,3.153419959010219,8.6986695563412,-32.668730717635555,6.427442446754337
PFHxA__0,-0.389287622498225,-0.004124044682859559,0.06401946537228906,0.011869428987923786,0.05798200556453059,0.007522762117529275,0.016862673535859272,0.03524544627576617,-0.013744061650031414,0.0008336711975210297
PFHxA__1,1.8656466992729857,0.019764333376066347,-0.3068109473775454,-0.05688380450286756,-0.27787664196589845,-0.03605256243164712,-0.08081374645616037,-0.16891251277604236,0.06586791300332881,-0.00399533873682405
PFHxS__0,-0.22087942009996803,0.008239628652160364,0.005348336182063211,-0.016727776344366015,-0.06867512227917531,-0.0497997735345115,0.02953057541920174,-0.02045004727238125,-0.002401226121677842,0.00048285307628714424
PFHxS__1,2.007168716638115,-0.07487490169906472,-0.04860123711771132,0.15200813802451038,0.6240624725819667,0.45253898026757544,-0.26834934254589127,0.18583304465539147,0.02182034863558009,-0.004387767719676257
PFMBA__0,-0.00010688178676429138,-0.009078042254352074,-0.0005040505348966011,5.533831973038219e-05,-0.00018659021135760236,2.103491692966074e-05,-5.5688086540948804e-05,-9.681317818528842e-05,5.267882551836071e-06,7.695831581557575e-06
PFMBA__1,1.1006686400919965,93.48567913531747,5.190712408366297,-0.5698740165836256,1.9215059965588537,-0.21661757454379846,0.5734759151990302,0.9969821089512828,-0.05424865451814458,-0.07925167362455385
PFMPA__0,-0.00019705944618259117,-0.012844342341983669,-0.0006952152767071066,6.474143388389073e-05,-0.00021358536347276455,8.839440776669183e-05,-0.0002944289440694166,-0.00020268740405922575,7.079628779526476e-05,-3.860957972928454e-05
PFMPA__1,1.0145605586699977,66.1290965477027,3.579315852127772,-0.3333212723516113,1.0996442438395384,-0.4550986083877304,1.5158674185411718,1.0435360997992862,-0.3644946877141948,0.19878142123770326
